frowning,fraʊnɪɳ
pale chrysanthemum aphid,pɑlɪkrɪsænθʌmʌmæfʌd
immunologic response,ɪmjunɑlʌdʒʌkrispɑns
garbageman,gɑrbɪdʒmʌn
full nelson,fʊlnʌlsʌn
carriage,kærɪdʒ
dispirit,dɪspɪrɪt
edematous,ɪdimætʌs
fibula,fɪbjʌlʌ
plantain tree,plæntʌntri
electric blanket,ɪlɛktrɪkblæɳkʌt
carnassial,kɑrnæsiʌl
sword knot,sɔrdnɑt
qabalah,kɑbɑlʌ
sesquipedalian,sɛskwaɪpʌdæliʌn
carillonneur,kɛrʌlɑnɜ
silversides,sɪlvɜsaɪdz
cooperatively,koʊɑprʌtɪvli
marsh plant,mɑrʃplænt
scraggy,skrægi
ulmus serotina,ʌlmʌsɜʌtinʌ
spreading dogbane,sprɛdɪɳdɔgbeɪn
discolorise,dɪskʌlɜʌs
undone,ʌndʌn
hyaloplasm,haɪʌlʌplæzʌm
open up,oʊpʌnʌp
roaring,rɔrɪɳ
jesse james,dʒɛseɪjɑmɛs
race problem,reɪsprɑblʌm
snake mackerel,sneɪkmækɜʌl
pudendal artery,pʌdɪndʌlɑrtɜi
soaprock,soʊprɑk
permanent press,pɜmʌnʌntprɪs
barratry,bærʌtri
farce comedy,fɑrsɛkɑmʌdi
coulomb's law,kaʊloʊmbɪslɑ
family odontaspididae,fæmʌljoʊdɑntʌspʌdaɪdeɪ
draw together,drɔtʌgɛðɜ
mohorovicic discontinuity,moʊhɔrʌvɪtʃʌdɪskɑntɪnuɪti
schlumbergera truncatus,ʃlʌmbɜʒɜʌtrʌɳkeɪtʌs
dysthymic depression,dɪsθaɪmʌsdɪprɛʃʌn
boche,bɑtʃ
genus pinctada,dʒinʌspɪɳktɑdʌ
analyser,ænʌlɪsɜ
salzburg,sɔlzbɜg
slightness,slaɪtnʌs
el salvadoran monetary unit,ɛlsɑlvɑdɔrɑnmɑnʌtɛriʌnɪt
podsol soil,pɑdsɔlsɔɪl
minimally invasive coronary bypass surgery,mɪnʌmʌliɪnveɪsɪvkɔrʌnɛribɪpæʃsɜdʒɜi
monkey bread,mʌɳkibrɛd
draw near,drɔnɪr
fisherman's bend,fɪʃɜmænsbɛnd
movie camera,muvikæmɜʌ
lycopodium selago,laɪkoʊpoʊdiʌmsɛlʌgoʊ
athletic contest,æθlɛtɪkʌntʌst
loloish,lʌlɔɪʃ
cercis,sɜsʌs
order raptores,ɔrdɜræptɜz
fingering,fɪɳgɜɪɳ
genus anagallis,dʒɛnjʌsænʌgælɪs
ice-skater,aɪsskeɪtɜ
quercus petraea,kwɛrkʌspɛtriʌ
genus latrodectus,dʒinʌslʌtrʌdɛktʌs
deliriously,dɪlɪriʌsli
first-nighter,fɜstnaɪtɜ
alan shepard,ælʌnʃɛpɜd
ferrocerium,fɛroʊtʃɛriʌm
little john,lɪtʌldʒɑn
cyclonic,sɪklɔnɪk
jerkwater,dʒɜkwɔtɜ
tammerfors,tæmɜfɜz
groin,grɔɪn
canine distemper,keɪnaɪnʌdɪstɛmpɜ
patwin,pætwɪn
rock barnacle,rɑkbɑrnʌkʌl
high-class,haɪklæs
flowerpot,flaʊɜpɑt
megadermatidae,mɛgʌdɜmætɪdeɪ
barrator,bærʌtɜ
bastardization,bæstɜdɪzeɪʃʌn
pachysandra,pætʃɪsændrʌ
upraise,ʌpreɪz
bocce,boʊtʃi
sauce-alone,sɔsiʌloʊn
bocci,boʊtʃi
lifespan,laɪfspæn
plier,plaɪɜ
panama hat,pænʌmeɪʌt
sublet,sʌblɛt
x-ray film,zreɪfɪlm
opportunistic infection,ɑpɜtunɪstɪsɪnfɛkʃʌn
capelan,kæpɪlæn
business traveler,bɪznʌstrævʌlɜ
hour hand,aʊɜhænd
colossus of rhodes,kʌlɑsʌsɔfroʊdz
almond oil,ɑmʌndɔɪl
light year,laɪtjɪr
kilogram,kɪlʌgræm
scrub oak,skrʌboʊk
mediaeval,midieɪvʌl
rallidae,rælɪdeɪ
devonian period,dɪvoʊniænpɪriʌd
colaptes caper collaris,koʊlæptskeɪpɜkʌlɛrɪs
queen victoria,kwinvɪktɔriʌ
lordotic,lɔrdɔtɪk
introspect,ɪntrʌspɛkt
the great compromiser,θigreɪtkɑmprʌmaɪzɜ
cheapskate,tʃipskeɪt
discolorize,dɪskʌlɜaɪz
prohibitory,proʊhɪbʌtɔri
pyridine,pɪrɪdin
big-tree plum,bɪgtriplʌm
retronym,rɛtrʌnɪm
trombone player,trɑmboʊnɛpleɪɜ
unaddressed,ʌnʌdrɛst
saint francis of assisi,seɪntfrɑntʃisʌfɑsisi
lace-flower vine,leɪsflaʊɜvaɪn
anorak,ænɜæk
uniting,junaɪtɪɳ
aedes aegypti,ɛdzidʒʌpti
borscht belt,bɔrʃtbɛlt
hookup,hʊkʌp
sodium thiopental,soʊdiʌmθioʊpɛntʌl
devil's urn,dɛvʌlzɜn
tibial vein,tɪbiɑlveɪn
deanship,diænʃɪp
orange grass,ɔrʌndʒgræs
william patterson,wɪljʌmpætɜsʌn
pine bluff,paɪnblʌf
sitting room,sɪtɪɳrum
coniogramme japonica,kɑniɑgrʌmɛdʒʌpɑnɪkʌ
doughnut,doʊnʌt
empyema,ɛmpaɪimʌ
knock rummy,nɑkrʌmi
chew the fat,tʃuθɪfæt
tainted,teɪntɪd
plica,plɪkʌ
swiss chard,swɪʃʃɑrd
supporting fire,sʌpɔrtɪɳfaɪr
unschooled,ʌnskuld
tie in,taɪɪn
croquette,kroʊkɛt
freddie mac,frɛdimæk
pepin iii,pɛpinii
bignoniad,bɪgnʌniʌd
genus psittacula,dʒɛnjʌspsɪtækjulʌ
command post,kʌmændpoʊst
undoer,ʌnduɜ
bunny girl,bʌnigɜl
sri lanka rupee,srilɑnkɑrupi
allium cepa,æliʌmsɛpʌ
milk thistle,mɪlkθɪsʌl
nutmeg,nʌtmɛg
central african republic franc,sɛntrʌlæfrɪkʌnrɪpʌblɪkfræɳk
department of health education and welfare,dɪpɑrtmɛntoʊfhɛlθɛdʒʌkeɪʃʌnʌndwɛlfɛr
goa powder,goʊpaʊdɜ
nuclear-powered submarine,nukliɜpaʊrɪdsʌbmɜin
deadlock,dɛdlɑk
antagonistically,æntægʌnɪstɪkli
sandalwood,sændælwʊd
mud-brick,mʌdbrɪk
self-concern,sɛlfkɑnsɜn
floatation,floʊteɪʃʌn
coquetry,koʊkwʌtri
feoff,fɔf
prime time,praɪmtaɪm
antilogarithm,æntilɑgɜɪðʌm
keystone state,kistoʊnsteɪt
republic of liberia,ripʌblɪkɔflɪbiriʌ
greenhood,grinhʊd
accumulation,ʌkjumjʌleɪʃʌn
insured person,ɪnʃʊrdpɜsʌn
white tie and tails,waɪttiʌndteɪlz
undock,ʌndɑk
coquette,kʌkɛt
middle cerebral artery,mɪdʌlsɛrʌbrʌlɑrtɜi
cynara scolymus,kɪnɑrɑskoʊlɪmʌs
choke up,tʃoʊkʌp
confiscation,kɑnfʌskeɪʃʌn
simplified,sɪmplʌfaɪd
floating bridge,floʊtɪɳbrɪdʒ
whisk away,wɪskʌweɪ
complication,kɑmplʌkeɪʃʌn
boidae,bɔɪdeɪ
causa,kɑzʌ
good-king-henry,gʊdkɪɳhɛnɜi
teres major,tɜismʌdʒɔr
cause,kɔz
carlsbad,kɑrlsbæd
four-pounder,fɔrpaʊndɜ
conciliable,kʌnsɪliʌbʌl
middle-level,mɪdʌllɛvʌl
ophiuchus,oʊfiutʃʌs
firebrat,faɪɜbræt
cyclonal,sɪkloʊnʌl
fast break,fæstbreɪk
unsaleable,ʌnseɪlʌbʌl
decimalize,dɛsʌmʌlaɪz
agave atrovirens,ʌgeɪviætroʊvaɪrʌnz
systematization,sɪstʌmʌtʌzeɪʃʌn
nearsightedness,nirsaɪtɪdnʌs
starchless,stɑrtʃlʌs
governador valadares,gʌvɜnʌdɔrvɑlɑdɑrɛs
prumnopitys elegans,prʌmnɑpɪtisɛlʌgʌnz
subdivision zygomycota,sʌbdɪvɪʒʌnzaɪgoʊmaɪkoʊtʌ
egg on,ɛgɔn
groak,groʊk
groan,groʊn
lobster pot,lɑbstɜpɑt
chelicerata,tʃɛlitʃɛrɑtʌ
megacycle per second,mɛgʌsaɪkʌlpɜsɛkʌnd
groat,groʊt
rectorate,rɛktɜʌt
chelicerate,tʃɛlɪsɜeɪt
disoblige,dɪsʌblaɪdʒ
look for,lʊkfɜ
loveless,lʌvlʌs
satureja grandiflora,sætɜeɪjɑgrændɪflɔrʌ
cause to be perceived,kɑzʌtoʊbeɪpɜsivd
self-whispered,sɛlfwɪspɜd
leccinum,lɛtʃinʌm
polyptoton,pɑlɪptɔtʌn
poetiser,poʊʌtaɪzɜ
davalia bullata,dɑvɑljʌbʊlʌtʌ
monophony,mɑnʌfʌni
public law,pʌblɪklɔ
greater water parsnip,greɪtɜwɔtɜpɑrsnɪp
pubes,pjubz
cancer cell,kænsɜsɛl
intracranial aneurysm,ɪntrʌkreɪniʌlænjʊrɪzʌm
symphonist,sɪmfʌnʌst
clashing,klæʃɪɳ
off-color,ɔfkʌlɜ
barefacedly,bɛrfeɪsʌdli
genus bletia,dʒinʌsbliʃʌ
genus corythosaurus,dʒɛnjʌskɔrɪθʌsɔrʌs
specific performance,spʌsɪfɪkpɜfɔrmʌns
footpad,fʊtpæd
interfaith,ɪntɜfeɪθ
anthropology,ænθrʌpɑlʌdʒi
inefficiency,ɪnɪfɪʃʌnsi
symphonise,sɪmfʌnʌs
cash machine,kæʃmʌʃin
american state,ʌmɛrɪkʌnsteɪt
devitalize,dɪvaɪtʌlaɪz
junk bond,dʒʌɳkbɑnd
polyborus plancus,pɑlibɔrʌsplænkʌs
bisect,baɪsɛkt
caramelized sugar,kɛrʌmʌlaɪzdsugɜ
capelin,kæpɪlɪn
shrewd,ʃrud
demonstration,dɛmʌnstreɪʃʌn
bull shark,bʊlzhɜk
rooftop,ruftɑp
guillaume apollinaire,gɪlaʊmʌpɑlʌnɛr
spread eagle,sprɛdigʌl
let down,lɛtdaʊn
punching bag,pʌntʃɪɳbæg
defeatist,dɪfitɪst
accommodation endorser,ʌkɑmʌdeɪʃʌnɪndɔrsɜ
defeatism,dɪfitɪzʌm
devil's milk,dɛvʌlzmɪlk
corpus geniculatum mediale,kɔrpʌsginɪkjʌlʌtʌmidiɑli
subdivision zygomycotina,sʌbdɪvɪʒʌnzaɪgoʊmaɪkʌtinʌ
pentagon gang,pɛntɪgɑɳgʌɳ
dress hanger,drɛshæɳɜ
chelydridae,ʃɪlaɪdrɪdeɪ
anaesthetic agent,ænʌsθɛtɪkʌdʒʌnt
amphotericin,æmfʌtɪrʌsɪn
george bush,dʒɔrdʒbʊʃ
prolusion,prʌluʒʌn
clematis tangutica,klɛmʌtɪstɑɳgutɪkʌ
kaluga,kʌlugʌ
class deuteromycetes,klæsdɔɪtɜoʊmaɪsits
vesicaria,vɛzɪkɛriʌ
willowherb,wɪloʊhɜb
squamulose,skweɪmʌloʊs
tenderheartedness,tɛndɜhɑrtɪdnʌs
giver,gɪvɜ
laurentian highlands,lɔrɛnʃʌnhaɪlʌndz
nervily,nɜvʌli
brown sugar,braʊnsugɜ
meadow cress,mɛdoʊkrɛs
mulloidichthys martinicus,mʌlɔɪdɪkθizmɑrtɪnʌkʌs
radiograph,reɪdioʊgræf
theory of organic evolution,θɪrioʊfɔrgʌnʌtʃɛvʌluʃʌn
too much,tumʌtʃ
fieriness,fɪrinʌs
manhattan,mænhætʌn
st. johns river,seɪntdʒɑnzraɪvɜ
zbit,zbɪt
plenary,plɛnɜi
biomedical,baɪoʊmɛdɪkʌl
southern tai,sʌðɜntaɪ
preservationist,prɛzɜveɪʃʌnɪst
bull through,bʊlθru
james cagney,dʒeɪmskɑgni
leafed,lift
cane blight,keɪnblaɪt
startling,stɑrtlɪɳ
order platyctenea,ɔrdɜpleɪtiktɪniʌ
earth's surface,ɜθssɜfʌs
monastical,mʌnæstɪkʌl
sesquipedality,sɛskwaɪpʌdælʌti
turtledove,tɜtʌldʌv
ion exchange,aɪʌnɪkstʃeɪndʒ
pubis,pjubɪs
winter currant,wɪntɜkɜʌnt
deep-sea,dipsiʌ
bud brush,bʌdbrʌʃ
get around,gɛtɜaʊnd
esperantido,ɛspɜæntidoʊ
dramatization,dræmʌtʌzeɪʃʌn
internationality,ɪntɜnæʃʌnælɪti
bufonidae,bjufɑnɪdeɪ
disappointed,dɪsʌpɔɪntɪd
heroic poetry,hɪroʊɪkpoʊʌtri
genus podargus,dʒɛnjʌspʌdɑrgʌs
villainage,vɪlʌnɪdʒ
given,gɪvʌn
metal-coloured,mʌtælkʌlɜd
copaiba balsam,koʊpeɪbɑbɑlsʌm
genus anas,dʒɛnjʌsænʌz
spark plug,spɑrkplʌg
rocket scientist,rɑkʌtsaɪʌntɪst
molasses,mʌlæsʌz
reburying,ribjʊriɪɳ
republic of moldova,ripʌblɪkɔfmoʊldoʊvʌ
ischemic anoxia,ɪskɛmɪkʌnɑksiʌ
smallpox virus,smɔlpɑksvaɪrʌs
sodium hydrogen carbonate,soʊdiʌmhaɪdrʌdʒɪnkɑrbʌneɪt
high-hat cymbal,haɪhætsɪmbʌl
sixpenny,sɪkspɛni
grand mufti,grændmʌfti
pubic,pjubɪk
schoolmistress,skulmɪstrʌs
appendicectomy,ʌpɛndɪsɛktʌmi
hod carrier,hɔdkærjɜ
medicate,mɛdɪkeɪt
mull over,mʌloʊvɜ
order dictyoptera,ɔrdɜdɪktjoʊtɛrʌ
pursuance,pɜsuʌns
quibble,kwɪbʌl
rewriter,riraɪtɜ
internationalism,ɪntɜnæʃʌnʌlɪzʌm
real mccoy,rɛlmʌkɔɪ
fly tent,flɪtʌnt
waterweed,wɔtɜwid
turdus,tɜdʌs
hooked,hʊkt
focalize,foʊkʌlaɪz
internationalist,ɪntɜnæʃʌnʌlʌst
subclass homobasidiomycetes,sʌbklæshoʊmoʊbɑsɪdioʊmaɪsits
newton,nutʌn
fictitious place,fɪktɪʃʌspleɪs
butterfly bush,bʌtɜflaɪbʊʃ
cleanup spot,klinʌpspɑt
brisbane,brɪzbeɪn
hooker,hʊkɜ
little corporal,lɪtʌlkɔrpɜʌl
domain name,doʊmeɪnneɪm
internationalise,ɪntɜnæʃʌnʌlʌs
somalian,sʌmɑljʌn
enclose,ɛnkloʊz
overview,oʊvɜvju
cross-section,krɔssɛkʃʌn
hydric,haɪdrɪk
sceloporus,sɛlʌpɔrʌs
fledgeless,flɛdʒlʌs
umbelliferous plant,ʌmbɛlɪfɜʌsplænt
accumulative,ʌkjumjʌleɪtɪv
heinous,heɪnʌs
scolopendrium,skoʊloʊpʌndriʌm
embargo,ɛmbɑrgoʊ
freewheeling,friwilɪɳ
cost ledger,kɔstlɛdʒɜ
medicare,mɛdʌkɛr
place upright,plʌsupraɪt
dry-wall,draɪwɑl
dominion,dʌmɪnjʌn
genus anoa,dʒɛnjʌsɑnoʊʌ
tough-skinned,tʌfskɪnd
sonogram,sɔnʌgræm
amyotonia,æmaɪʌtoʊniʌ
neurobiologist,nʊroʊbaɪɑlʌdʒɪst
sericultural,sɛrɪkʌltʃɜʌl
blue skullcap,bluskʌlkæp
medusan,mʌdusʌn
beef burrito,bifbɜitoʊ
mixed nuisance,mɪksʌdnusʌns
supplanter,sʌplæntɜ
devitalise,dɪvaɪtʌlaɪz
actomyosin,æktoʊmaɪʌsʌn
family gobiidae,fæmʌligoʊbideɪ
locking pliers,lɑkɪɳplaɪɜz
banti's disease,bæntiaɪzdɪziz
salacity,sælʌsɪti
redevelopment,ridɪvɛlʌpmʌnt
quickset,kwɪksɛt
raphicerus campestris,rɑfitʃɛrʌskæmpʌstrɪs
potato mosaic,pʌteɪtoʊmoʊzeɪɪk
genus lysiloma,dʒinʌslisɪloʊmʌ
apotheose,ʌpɑθioʊsi
goddamned,gɑddæmd
laminator,læmʌneɪtɜ
recall dose,rikɔldʌs
regenerate,ridʒɛnɜeɪt
argynnis,ɑrgaɪnɪs
goldfields,goʊldfildz
revengeful,rivɛndʒfʌl
pickaback,pɪkʌbæk
formulary,fɔrmjʌlɛri
sphingidae,sfɪɳgɪdeɪ
consumer credit,kʌnsumɜkrɛdɪt
family leguminosae,fæmʌlilɛgjumɪnoʊzeɪ
hookah,hʊkʌ
pork barrel,pɔrkbærʌl
first-rater,fɜstreɪtɜ
u.s.a.,juzʌ
formulate,fɔrmjʌleɪt
hoar,hɔr
seesaw,sisɔ
hoax,hoʊks
unintelligibly,ʌnɪntɛlʌdʒʌbli
cavia,keɪviʌ
jevons,dʒɛvʌnz
single stitch,sɪɳgʌlstɪtʃ
minimalism,mɪnʌmʌlɪzʌm
zealotry,zɛlʌtri
cynara,kɪnɑrʌ
growl,graʊl
minimalist,mɪnʌmʌlɪst
cavil,kævʌl
deportation,dipɔrteɪʃʌn
grown,groʊn
entresol,ɛntrisɔl
neon lamp,nioʊnlæmp
family panorpidae,fʌmɪlipænɔrpʌdaɪ
mericarp,mɛrɪkɑrp
grout,graʊt
unintelligible,ʌnɪntɛlʌdʒʌbʌl
waspish,wɑspɪʃ
genus conepatus,dʒɛnjʌskoʊnɛpʌtʌs
descending node,dɪsɛndɪɳnoʊd
oilskin,ɔɪlskɪn
in vacuo,ɪnvʌkwoʊ
coragyps,kɔrædʒɪps
coeliac,koʊiliæk
family lobotidae,fæmʌlʌloʊbɑtɪdeɪ
republicanism,rɪpʌblɪkʌnɪzʌm
grove,groʊv
excitedly,ɪksaɪtʌdli
transformable,trænsfɔrmʌbʌl
receptacle,rʌsɛptʌkʌl
hecht,hɛkt
wash down,wɑʃdaʊn
consultive,kʌnsʌltɪv
secernment,sɪsɜnmʌnt
poundal,paʊndʌl
plexus coccygeus,plɛksʌskoʊtʃɪdʒiʌs
haematoidin,hɛmʌtɔɪdɪn
oedema,ɛdɛmʌ
cucumber,kjukʌmbɜ
pinball game,pɪnbɔlgeɪm
scarlet tanager,skɑrlɛtʌneɪgɜ
replace,ripleɪs
fly ash,flaɪʌʃ
hot stuff,hɑtstʌf
ground control,graʊndkɑntrɑl
scrutin uninominal voting system,skrutʌnʌnɪnʌminɑlvoʊtɪɳsɪstʌm
barter away,bɑrtɛrʌweɪ
hebetude,hɛbʌtud
piscatorial,piskʌtɔriʌl
drymarchon corais couperi,drimɑrtʃɔnkɜeɪskʌpɛri
christian religion,krɪstʃʌnrɪlɪdʒʌn
worldwide,wɜldwaɪd
treadle,tridʌl
marched upon,mɑrkɛdʒupɑn
favourableness,feɪvɜʌbʌlnʌs
peromyscus gossypinus,pɜoʊmɪskjusgɔsipinʌs
group,grup
hock,hɑk
dewberry bush,dubɛribʊʃ
gross,groʊs
hobo,hoʊboʊ
specular,spɛkjʌlɜ
adience,ɑdiʌns
lassie,læsi
razor fish,reɪzɜfɪʃ
carpinus,kɑrpinʌs
grosz,groʊs
eclipse,ɪklɪps
corbie gable,kɔrbigʌbʌl
cyanuric acid,saɪænɜɪkæsʌd
impalement,ɪmpeɪlmʌnt
motor-assisted,moʊtɜʌsɪstɪd
pancake-style,pænkeɪkstaɪl
shutdown,ʃʌtdaʊn
hotfoot,hɑtfʊt
sodium dichromate,soʊdiʌmdaɪkroʊmeɪt
swietinia macrophylla,switɪnaɪʌmækrʌfɪlʌ
argle-bargle,ɑrgʌlbɑrgʌl
parenthesis-free notation,pɜɛnθʌsɪsfrinoʊteɪʃʌn
capella,kʌpɛlʌ
levy en masse,lɛvinmæs
lawn tool,lɔntul
photojournalism,foʊtoʊdʒɜnʌlɪzʌm
going to jerusalem,goʊɪɳtoʊdʒɜɪsʌlʌm
eskimo,ɛskʌmoʊ
symphonize,sɪmfʌnaɪz
labor market,leɪbɜmɑrkɪt
medgar evers,mɛdgɜɛvɜz
painstakingness,peɪnsteɪkɪɳnʌs
discontinuance,dɪskʌntɪnjuʌns
sexual attraction,sɛkʃʌwʌlʌtrækʃʌn
nonalignment,nɑnʌlaɪnmʌnt
tomato ketchup,tʌmeɪtoʊkɛtʃʌp
padding,pædɪɳ
beer keg,bɪrkɪg
hodr,hɑdɜ
call it quits,kʌlaɪtkwɪts
john cabot,dʒɑnkʌbɑt
manikin,mænɪkɪn
fearfulness,fɪrfʌlnʌs
photojournalist,foʊtoʊdʒɜnʌlʌst
agrarian,ʌgrɛriʌn
lassa virus,læsʌvaɪrʌs
rope tow,roʊptaʊ
ice wagon,aɪswægʌn
air force isr,ɛrfɔrsɪzr
body armor,bɑdiɑrmɜ
oil cartel,ɔɪlkɑrtʌl
siege perilous,sidʒpɛrʌlʌs
suborder marginocephalia,sʌbɔrdɜmɑrdʒʌnoʊsɛfɑliʌ
spondias purpurea,spɑndiɑspɜpɜiʌ
provitamin a,prʌvaɪtʌminʌ
sometime,sʌmtaɪm
gross anatomy,groʊsʌnætʌmi
seismosaurus,saɪzmʌsɔrʌs
quinidine,kwɪnɪdin
stealth bomber,stɛlθtbɔmɜ
power saw,paʊɜsɔ
supranational,suprʌnæʃʌnʌl
pavlovian,pævloʊviʌn
nystan,naɪstæn
dun-colored,dʌɳkʌlɜd
evening grosbeak,ivnɪɳgroʊsbik
analog clock,ænʌlɔgklɔk
gaddafi,gædɑfi
unploughed,ʌnplaʊd
phaseolus coccineus,feɪziʌluskoʊtʃiniʌs
starkers,stɑrkɜz
hogg,hɑg
vaulter,vɔltɜ
know apart,noʊʌpɑrt
skin diving,skɪndaɪvɪɳ
vaulted,vɔltɪd
absorbable,ʌbzɔrbʌbʌl
childproof,tʃaɪldpruf
mail boat,meɪlboʊt
corruptible,kɜʌptɪbʌl
sixpence,sɪkspɛns
canicular days,kænʌkʌlɑrdeɪz
ricksha,rɪkʃʌ
transfix,trænsfɪks
home-school,hoʊmskul
vaisya,veɪziʌ
subduedness,sʌbdudnʌs
minoan culture,mʌnoʊʌnkʌltʃɜ
melamine resin,mɛlʌmɪnɛrɛzʌn
verboseness,vɜbɑsnʌs
refinisher,rifɪnɪʃɜ
sturm und drang,stɜmunddræɳ
liquify,lɪkwʌfaɪ
night latch,naɪtlætʃ
seal off,silɔf
trusting,trʌstɪɳ
cold sober,koʊldsʌbɜ
outscore,aʊtskɔr
spark,spɑrk
tagging program,tægɪɳproʊgræm
maraschino cherry,mærʌskinoʊʃɛri
ceratopsidae,sɛrʌtɔpsaɪdeɪ
spare,spɛr
sessile,sɛsʌl
takeoff,teɪkɔf
untellable,ʌntɛlʌbʌl
collotype,kɑlʌtaɪp
pawnshop,pɔnʃɑp
flagellate protozoan,flædʒʌleɪtproʊtʌzoʊʌn
hydrus,haɪdrʌs
gray wolf,greɪwʊlf
entomological,ɛntʌmɑlʌdʒʌkʌl
duncan james corrow grant,dʌɳkʌnjɑmɛskɑroʊgrʌnt
head gate,hɛdgeɪt
hit-and-run,hɪtɑndrʌn
urban vi,ɜbænvi
spasm,spæzʌm
crossing guard,krɔsɪɳgɑrd
granola,grʌnoʊlʌ
genus loris,dʒinʌslɔrɪs
analytic,ænʌlɪtɪk
treadmill,trɛdmɪl
withholder,wɪθhoʊldɜ
john moses browning,dʒɑnmoʊzʌsbraʊnɪɳ
lie down,lidaʊn
semi-prostrate,sɛmiprɑstreɪt
guest of honor,gɛstoʊfhɑnɜ
file folder,fɪlɛfoʊldɜ
hypogammaglobulinemia,haɪpoʊgʌmɑglɑbjʌlɪnimiʌ
interpersonal,ɪntɜpɜsʌnʌl
nonesuch clover,nʌnsʌtʃkloʊvɜ
hold,hoʊld
fabricated,fæbrɪkeɪtɪd
soft-spoken,sɔftspoʊkʌn
anti-impotence drug,æntaɪimpoʊtʌnseɪdrʌg
strabotomy,strɑboʊtoʊmi
clubby,klʌbi
calendar month,kælʌndɜmʌnθ
reputability,rɛpjʌtʌbɪlɪti
in particular,ɪnpɑrtɪkjʌlɜ
peignoir,peɪnwɑr
galveston,gælvʌstʌn
hexalectris,hɛksʌlɛktrʌs
shoot for,ʃutfɔr
parcelling,pɑrsʌlɪɳ
apparentness,ʌpɛrʌntnʌs
bombsight,bɑmsaɪt
malignant anaemia,mʌlɪgnʌnteɪnimiʌ
aethionema,iθioʊneɪmʌ
athodyd,æθʌdɪd
disrupting explosive,dɪsrʌptɪɳʌksploʊsɪv
spall,spɔl
hoka,hoʊkʌ
invalidating,ɪnvælʌdeɪtɪɳ
unscheduled,ʌnskɛdʒuld
immediate,ɪmidiʌt
company operator,kʌmpʌniɑpɜeɪtɜ
wagram,wægræm
jiddah,dʒɪdʌ
subtlety,sʌtʌlti
homy,hoʊmi
landlord,lændlɔrd
drop-kick,drɑpkɪk
session,sɛʃʌn
rock squirrel,rɑkskwɜʌl
golan heights,goʊlʌnhaɪts
hone,hoʊn
soothing syrup,suðɪɳzɜʌp
arctic fox,ɑrktɪkfɑks
cheviot hills,tʃiviʌthɪlz
high ground,haɪgraʊnd
spang,spæɳ
invalidation,ɪnvælʌdeɪʃʌn
homo,hoʊmoʊ
berried,bɛrid
hard-boiled,hɑrdbɔɪld
rediscover,ridɪskʌvɜ
asian country,eɪʒʌnkʌntri
aleppo grass,ʌlɛpoʊgræs
hatchway,hætʃweɪ
murderously,mɜdɜʌsli
holy,hoʊli
imidazole,ɪmʌdʌzoʊli
secularisation,sɛkjʌlɜɪzeɪʃʌn
angwantibo,æɳgwɑntɪboʊ
spank,spæɳk
monitor,mɑnʌtɜ
home,hoʊm
hole,hoʊl
pounder,paʊndɜ
james merritt ives,dʒeɪmzmɜɪtɪvz
chrysotherapy,krɪsoʊθɛrʌpi
marching,mɑrtʃɪɳ
self-moving,sɛlfmuvɪɳ
unrecognized,ʌnrɛkʌgnaɪzd
antihypertensive,æntihaɪpɜtɛnsɪv
word of god,wɜdɑfgɑd
benin franc,binɪnfræɳk
japanese leaf,dʒæpʌnizlif
saururus cernuus,sɔrʊrʌsɜnjuʌs
aerobiotic,ɛroʊbaɪɑtɪk
weisenheimer,waɪsɪnhaɪmɜ
netmail,nɛtmeɪl
genus nautilus,dʒɛnjʌsnɔtʌlʌs
nasal canthus,nʌsælkænθuz
battledore and shuttlecock,bætʌldɔrʌndʃʌtʌlkɑk
bay of ob,beɪʌfɑb
hope,hoʊp
bear down upon,bɪrdaʊnʌpɑn
shanks' pony,ʃæɳksɪpoʊni
norwegian,nɔrwidʒʌn
traducement,trʌdusmʌnt
hook,hʊk
hoop,hup
unharmoniously,ʌnhɑrmoʊniʌsli
hydrozoan,haɪdrʌzoʊʌn
hoot,hut
wordsmith,wɜdsmɪθ
family rhizopogonaceae,fæmʌliraɪzɔpɔgʌnʌsiʌ
tendonous synovitis,tɛndʌnusinoʊvaɪtʌs
sugar apple,ʃʊgɜæpʌl
replant,riplænt
bookshelf,bʊkʃɛlf
thelypteris phegopteris,θɛlɪptɜaɪsfʌgɑptɜɪs
anabaptist denomination,ænʌbæptʌstdɪnɑmʌneɪʃʌn
blowtorch,bloʊtɔrtʃ
catherine howard,kæθrɪnhaʊɜd
fixed star,fɪksʌdstɑr
bark beetle,bɑrkbitʌl
hood,hʊd
loading,loʊdɪɳ
hoof,hʊf
heavy,hɛvi
losings,luzɪɳz
honk,hɑɳk
irate,aɪreɪt
15 minutes,ɛfwʌmɪnʌts
bribable,braɪbʌbʌl
lead by the nose,lɛdbiθɛnoʊz
fractiously,frækʃʌsli
financial gain,fʌnænʃʌlgʌn
britain,brɪtʌn
parking ticket,pɑrkɪɳtɪkɪt
bazooka,bʌzukʌ
short whist,ʃɔrtwɪst
garden loosestrife,gɑrdʌnlusstraɪf
nancy mitford,nænsɪmɪtfɜd
cigarette smoker,sɪgɜɛtsmoʊkɜ
head game,hɛdgeɪm
anguilliformes,æɳwɪlʌfɔrmz
speculum,spɛkjʌlʌm
abbey,æbi
leger line,lɛdʒɜlaɪn
brusqueness,brʌsknʌs
cherry stone,tʃɛristoʊn
